Date,Open,High,Low,Close,Adj Close,Volume
2023-06-23,130.399994,130.619995,129.179993,129.429993,124.147118,11324700
2023-06-26,129.389999,131.410004,129.309998,131.339996,125.979156,4845600
2023-06-27,131.300003,132.949997,130.830002,132.339996,126.938339,3219900
2023-06-28,132.059998,132.169998,130.910004,131.759995,126.382011,2753800
2023-06-29,131.750000,134.350006,131.690002,134.059998,128.588150,3639800
2023-06-30,134.690002,135.029999,133.429993,133.809998,128.348343,4236400
2023-07-03,133.419998,134.350006,132.869995,133.669998,128.214050,1477100
2023-07-05,133.320007,134.309998,132.589996,134.240005,128.760803,2955100
2023-07-06,133.240005,133.899994,131.550003,132.160004,126.765694,3507700
2023-07-07,131.779999,133.850006,131.750000,132.080002,126.688965,2982400
2023-07-10,131.759995,133.050003,131.699997,132.899994,127.475487,2369200
2023-07-11,133.660004,134.559998,133.229996,134.440002,128.952637,2925200
2023-07-12,135.070007,135.330002,132.570007,132.839996,127.417923,3732200
2023-07-13,133.509995,135.070007,133.360001,133.919998,128.453857,3221400
2023-07-14,133.910004,133.919998,132.940002,133.399994,127.955070,2860700
2023-07-17,133.259995,134.610001,133.100006,134.240005,128.760803,3167400
2023-07-18,134.710007,135.949997,134.289993,135.360001,129.835083,3852100
2023-07-19,135.529999,136.449997,135.190002,135.479996,129.950180,5520000
2023-07-20,137.190002,140.320007,136.559998,138.380005,132.731812,10896300
2023-07-21,138.210007,139.779999,137.759995,138.940002,133.268951,5858600
2023-07-24,139.350006,140.119995,138.779999,139.539993,133.844452,3475200
2023-07-25,139.419998,140.429993,139.039993,140.330002,134.602219,3770800
2023-07-26,140.440002,141.250000,139.880005,141.070007,135.312042,4046400
2023-07-27,142.300003,143.380005,141.899994,142.970001,137.134476,6331600
2023-07-28,143.440002,143.949997,142.850006,143.449997,137.594879,6686400
2023-07-31,143.809998,144.600006,143.529999,144.179993,138.295059,6138100
2023-08-01,144.250000,144.479996,142.169998,143.330002,137.479767,4797700
2023-08-02,142.779999,144.300003,142.309998,144.169998,138.285492,4957400
2023-08-03,143.779999,145.220001,143.309998,144.449997,138.554047,3951900
2023-08-04,145.089996,146.089996,143.990005,144.240005,138.352631,4223100
2023-08-07,145.000000,146.500000,144.929993,146.179993,140.213440,3438700
2023-08-08,145.699997,146.149994,144.110001,145.910004,139.954468,4654600
2023-08-09,144.940002,144.940002,142.300003,142.490005,138.246887,4072900
2023-08-10,143.039993,144.580002,142.690002,143.250000,138.984253,4735800
2023-08-11,143.119995,143.449997,142.210007,143.119995,138.858124,2526000
2023-08-14,143.050003,143.369995,141.800003,141.910004,137.684143,4226400
2023-08-15,141.500000,142.309998,141.199997,141.869995,137.645340,3656600
2023-08-16,141.699997,142.089996,140.559998,140.639999,136.451965,3285300
2023-08-17,141.009995,142.660004,140.600006,140.660004,136.471359,3742100
2023-08-18,140.000000,141.830002,139.759995,141.410004,137.199036,3914700
2023-08-21,141.419998,142.389999,141.110001,142.279999,138.043137,2937800
2023-08-22,142.660004,143.229996,141.300003,141.490005,137.276657,3557500
2023-08-23,141.720001,143.479996,141.580002,143.410004,139.139496,2559100
2023-08-24,143.509995,144.470001,143.220001,143.550003,139.275314,2900200
2023-08-25,144.179993,145.470001,143.500000,145.350006,141.021713,3660100
2023-08-28,145.410004,146.740005,145.210007,146.020004,141.671768,3561100
2023-08-29,146.300003,146.729996,145.619995,146.449997,142.088959,2778100
2023-08-30,146.419998,146.919998,145.750000,146.860001,142.486740,2245400
2023-08-31,146.940002,147.729996,146.539993,146.830002,142.457642,3885900
2023-09-01,147.259995,148.100006,146.919998,147.940002,143.534576,2727500
2023-09-05,147.910004,149.000000,147.570007,148.130005,143.718918,3731300
2023-09-06,147.660004,148.330002,147.119995,148.059998,143.651001,2932200
2023-09-07,148.130005,148.779999,147.399994,147.520004,143.127075,3332900
